Date,Price,Action,TradeShares,Shares,Balance,TotalValue,BaselineValue,Confidence
2012-11-14,63.807167053222656,Hold,0,2677,56.129717092238366,170112.07376462774,165009.37548993787,0.8416969180107117
2012-11-15,63.595664978027344,Hold,0,2677,56.129717092238366,169548.38810474958,164462.53512434073,0.6252942085266113
2012-11-16,63.595664978027344,Hold,0,2677,56.129717092238366,169548.38810474958,164462.53512434073,0.80778968334198
2012-11-19,63.454654693603516,Hold,0,2677,56.129717092238366,169172.57394239845,164097.95186710282,0.8763067126274109
2012-11-20,63.7366828918457,Hold,0,2677,56.129717092238366,169924.22260061416,164827.13810744134,0.8867278695106506
2012-11-21,63.807167053222656,Hold,0,2677,56.129717092238366,170112.07376462774,165009.37548993787,0.8880556225776672
2012-11-22,64.37120056152344,Hold,0,2677,56.129717092238366,171615.31008051883,166467.6887930268,0.8740831017494202
2012-11-23,67.33244323730469,Hold,0,2677,56.129717092238366,179507.47865718967,174124.0062355424,0.93517005443573
2012-11-26,67.19143676757812,Hold,0,2677,56.129717092238366,179131.67466159526,173759.43284123583,0.9251676797866821
2012-11-27,67.89647674560547,Hold,0,2677,56.129717092238366,181010.71497308073,175582.31953863133,0.9831411838531494
2012-11-28,67.61444854736328,Hold,0,2677,56.129717092238366,180259.06631486502,174853.1332982928,0.9741725921630859
2012-11-29,68.03749084472656,Hold,0,2677,56.129717092238366,181386.53930218858,175946.9126588006,0.9988847374916077
2012-11-30,69.5886001586914,Hold,0,2677,56.129717092238366,185520.48492129432,179957.31862548628,0.9944660067558289
2012-12-03,69.02456665039062,Hold,0,2677,56.129717092238366,184017.24860540323,178499.00532239734,0.9633325934410095
2012-12-04,68.10799407958984,Hold,0,2677,56.129717092238366,181574.4412999858,176129.19935595387,0.9873305559158325
2012-12-05,68.31952667236328,Hold,0,2677,56.129717092238366,182138.20829391776,176676.1186250018,0.9954167604446411
2012-12-06,68.10799407958984,Hold,0,2677,56.129717092238366,181574.4412999858,176129.19935595387,0.9996985197067261
2012-12-07,69.16557312011719,Hold,0,2677,56.129717092238366,184393.05260099765,178863.5787167039,0.999833345413208
2012-12-10,68.03749084472656,Hold,0,2677,56.129717092238366,181386.53930218858,175946.9126588006,0.9998800754547119
2012-12-11,69.30657958984375,Hold,0,2677,56.129717092238366,184768.85659659206,179228.15211101045,0.9999268054962158
2012-12-12,69.37709045410156,Hold,0,2677,56.129717092238366,184956.7789279027,179410.45853402643,0.9999501705169678
2012-12-13,69.94110870361328,Hold,0,2677,56.129717092238366,186459.97457676686,180868.73238539,0.9999536275863647
2012-12-14,69.37709045410156,Hold,0,2677,56.129717092238366,184956.7789279027,179410.45853402643,0.9997939467430115
2012-12-17,68.39000701904297,Hold,0,2677,56.129717092238366,182326.0492911746,176858.346144567,0.9916035532951355
2012-12-18,68.178466796875,Hold,0,2677,56.129717092238366,181762.2619637292,176311.40714965638,0.9547456502914429
2012-12-19,68.6015396118164,Hold,0,2677,56.129717092238366,182889.81628510656,177405.26541361495,0.994517982006073
2012-12-20,67.68496704101562,Hold,0,2677,56.129717092238366,180447.00897968913,175035.45944717148,0.9985520243644714
2012-12-21,66.83891296386719,Hold,0,2677,56.129717092238366,178192.1443390958,172847.9796296067,0.9995311498641968
2012-12-24,67.12091064453125,Hold,0,2677,56.129717092238366,178943.7116632577,173577.08696649445,0.9996790885925293
2012-12-25,68.03749084472656,Hold,0,2677,56.129717092238366,181386.53930218858,175946.9126588006,0.9998836517333984
2012-12-26,67.68496704101562,Hold,0,2677,56.129717092238366,180447.00897968913,175035.45944717148,0.9999078512191772
2012-12-27,67.40293884277344,Hold,0,2677,56.129717092238366,179695.36032147342,174306.27320683296,0.9999171495437622
